delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,label
390.3981414,277.9215684,121.7898924,305.5136252,0.398639806,0.90968633,1.277841999,2.281975646,3.205505266,0.639369917,0
390.5301617,278.5580794,114.1706286,297.2816143,0.384048737,0.937017515,1.313670752,2.439840114,3.420583441,0.614944663,0
391.7696982,278.0203353,112.6175454,295.3460307,0.381307124,0.941337639,1.326476937,2.468712439,3.478762538,0.609091739,0
391.1305947,276.7358944,114.7121092,288.5950332,0.397484696,0.958907336,1.35529219,2.412438376,3.409671373,0.603873901,0
391.2306699,275.0461991,110.3908773,279.0595416,0.395581805,0.985618329,1.401961272,2.491566384,3.544048924,0.584517394,0
391.0566095,274.3957569,109.40768,280.1433748,0.390541736,0.979483299,1.395915965,2.50801184,3.574306753,0.585392846,0
390.6512318,273.7514251,109.1584822,279.1359652,0.391058465,0.980709974,1.399501607,2.507834661,3.578752873,0.584426392,0
390.6175693,272.153441,110.1843225,278.5284427,0.395594509,0.977111847,1.402433322,2.469983342,3.545128385,0.58649633,0
391.5336328,270.401587,105.3513568,276.5806594,0.380906449,0.977659058,1.415621879,2.566664496,3.716455533,0.576993042,0
389.2175329,273.7911554,101.0747143,268.6732216,0.376199436,1.019048917,1.44866515,2.708799696,3.850790334,0.557681886,0
387.8604305,267.0937443,99.52113953,177.626544,0.560283037,1.503681479,2.183572465,2.683789048,3.897266775,0.423155839,0
66.84370871,68.47055768,67.09282698,146.9496621,0.456570135,0.465945663,0.454874872,1.020534695,0.996286961,1.581817607,0
74.24645905,74.3083962,75.63295085,151.9072684,0.497888953,0.489169458,0.488761728,0.982487069,0.981668151,1.531691568,0
63.03533335,64.00373025,79.63353802,150.117815,0.530473602,0.42635666,0.419905748,0.803728327,0.79156766,1.808509497,0
70.29353541,68.93921218,91.0828248,185.1257719,0.492005105,0.372391221,0.379706913,0.756884872,0.771754011,1.983790462,0
74.5996726,74.9666193,92.72355592,184.4467536,0.502711781,0.406440438,0.404450993,0.808495949,0.804538522,1.853160268,0
73.83775006,76.34186522,93.05949203,185.47432,0.50173788,0.411603424,0.398102282,0.82035549,0.793446734,1.854671231,0
73.48378895,97.39223368,128.9856271,221.7486629,0.581674881,0.439200996,0.331383234,0.755062683,0.56970525,2.052565858,0
73.4566235,104.8044977,127.0818061,225.5502011,0.56343025,0.464661513,0.325677491,0.82470104,0.578026279,1.97817676,0
